Trial,Variance,Anisotropy,Regime,Chem,Mass,Contribution,Time,fraction,Mass_spatial_base,Cont_spatial_base,meanmass_spatial_fraction,contribution_spatial_fraction
37,0.1,2,Slow,Immobile active sulphate reducers,0.003097554445910534,2.4893718561831917e-05,205.0,1.0,0.0030923511398079123,0.0030923511398079123,1.0016826375360932,0.008050094389791141
37,0.1,2,Slow,Immobile active ammonia oxidizers,0.5568690141889887,0.004475317789273125,205.0,1.0,0.5570738925972871,0.5570738925972871,0.9996322239993276,0.008033616094280629
37,0.1,2,Slow,Mobile active aerobic degraders,1.2827772264284056,0.010309131222663385,205.0,1.0,1.2735416801338104,1.2735416801338104,1.0072518602560576,0.008094851847785783
37,0.1,2,Slow,Mobile active nitrate reducers,1.5218153171517206,0.01223017799034164,205.0,1.0,1.509833376107427,1.509833376107427,1.007935936000557,0.008100349471590594
37,0.1,2,Slow,Mobile active sulphate reducers,0.007715208777720292,6.20038289276583e-05,205.0,1.0,0.007722001427336784,0.007722001427336784,0.9991203511576099,0.008029502391460008
37,0.1,2,Slow,Mobile active ammonia oxidizers,0.2874321813659573,0.0023099693495247874,205.0,1.0,0.28813317456896803,0.28813317456896803,0.9975671208146739,0.008017019744360847
37,0.1,2,Slow,Immobile inactive aerobic degraders,53.58960883222269,0.4306767365685053,205.0,1.0,53.707987746740656,53.707987746740656,0.9977958787978395,0.008018858174306512
37,0.1,2,Slow,Immobile inactive nitrate reducers,18.06952177859113,0.14521700830698878,205.0,1.0,17.95039984404896,17.95039984404896,1.0066361716494947,0.00808990382212194
37,0.1,2,Slow,Immobile inactive sulphate reducers,1.4967365078209915,0.012028630339687998,205.0,1.0,1.4919620086020235,1.4919620086020235,1.003200147987308,0.008062289971417495
37,0.1,2,Slow,Immobile inactive ammonia oxidizers,0.6710292356741893,0.005392774600520103,205.0,1.0,0.669099324310419,0.669099324310419,1.0028843421202962,0.008059751974907395
37,0.1,2,Slow,Mobile inactive aerobic degraders,28.81859238749273,0.2316026855281033,205.0,1.0,28.646032183282014,28.646032183282014,1.0060238780403041,0.008084983080598086
37,0.1,2,Slow,Mobile inactive nitrate reducers,9.683185996742154,0.07781961905561069,205.0,1.0,9.58750505655317,9.58750505655317,1.009979753817557,0.00811677476012595
37,0.1,2,Slow,Mobile inactive sulphate reducers,0.7885976456854491,0.006337621563402797,205.0,1.0,0.7886368005175947,0.7886368005175947,0.9999503512489908,0.00803617274674897
37,0.1,2,Slow,Mobile inactive ammonia oxidizers,0.3651016169716536,0.002934165341746057,205.0,1.0,0.36579328988849696,0.36579328988849696,0.9981091153502182,0.008021375522335209
37,0.1,2,Slow,Total,124.43116677071434,1.0,205.0,1.0,124.13264297663513,124.13264297663513,1.0024048774514163,0.008055898722693152
38,0.1,5,Slow,Immobile active aerobic degraders,4.275081303297919,0.033989046301214826,205.0,1.0,4.284191326307593,4.284191326307593,0.997873572323035,0.007933596730963203
38,0.1,5,Slow,Immobile active nitrate reducers,3.0080367525127083,0.023915404925290956,205.0,1.0,3.001638920409575,3.001638920409575,1.0021314462774424,0.007967448970187157
38,0.1,5,Slow,Immobile active sulphate reducers,0.0030967961170349995,2.462108651036099e-05,205.0,1.0,0.0030923511398079123,0.0030923511398079123,1.0014374102506882,0.00796193103474348
