Trial,Variance,Anisotropy,Regime,Chem,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction
39,0.1,10,Slow,Nitrate,-0.14290251855489752,-0.03627601358841319,-0.10662650496648433,74.61485356923407,0.2538514643076593,202.5,0.9878048780487804
39,0.1,10,Slow,Ammonium,-0.034296604453175394,-0.027508948061651613,-0.006787656391523782,19.791044914638302,0.802089550853617,202.5,0.9878048780487804
39,0.1,10,Slow,Nitrogen,-0.17857098718619993,-0.07686362579455562,-0.10170736139164431,56.95626316137894,0.43043736838621055,202.5,0.9878048780487804
39,0.1,10,Slow,TOC,-0.47100670115694215,-0.3172744918317707,-0.15373220932517145,32.63907051588784,0.6736092948411216,202.5,0.9878048780487804
40,1.0,2,Slow,DOC,-0.44998897527240206,-0.18395336859401015,-0.2660356066783919,59.12047212208843,0.4087952787791156,167.5,0.8170731707317073
40,1.0,2,Slow,DO,-0.1406215547726256,-0.000610236434135254,-0.14001131833849037,99.56604345960906,0.004339565403909522,167.5,0.8170731707317073
40,1.0,2,Slow,Nitrate,-0.1406215547726256,-0.036613545723707994,-0.10400800904891762,73.96306292949944,0.2603693707050055,167.5,0.8170731707317073
40,1.0,2,Slow,Ammonium,-0.033749173145430154,-0.02716456556495207,-0.006584607580478085,19.510426380237647,0.8048957361976236,167.5,0.8170731707317073
40,1.0,2,Slow,Nitrogen,-0.17572069484387298,-0.07794135132662898,-0.097779343517244,55.64475123668302,0.44355248763316985,167.5,0.8170731707317073
40,1.0,2,Slow,TOC,-0.46348864453057415,-0.3255857689736993,-0.13790287555687486,29.753237147059828,0.7024676285294017,167.5,0.8170731707317073
41,1.0,5,Slow,DOC,-0.45395511512418246,-0.18556256650184264,-0.26839254862233985,59.123146690156645,0.40876853309843364,182.5,0.8902439024390244
41,1.0,5,Slow,DO,-0.141860973476307,-0.0006090018225588122,-0.14125197165374817,99.57070517166547,0.0042929482833453485,182.5,0.8902439024390244
41,1.0,5,Slow,Nitrate,-0.141860973476307,-0.0364595561758613,-0.1054014173004457,74.2990934839802,0.257009065160198,182.5,0.8902439024390244
41,1.0,5,Slow,Ammonium,-0.03404663363431368,-0.027357708392630083,-0.006688925241683595,19.646363025277793,0.8035363697472221,182.5,0.8902439024390244
41,1.0,5,Slow,Nitrogen,-0.17726947245599323,-0.07758785285224504,-0.09968161960374819,56.23168965457035,0.43768310345429645,182.5,0.8902439024390244
41,1.0,5,Slow,TOC,-0.46757376857790794,-0.32326844933937926,-0.14430531923852868,30.86257804355085,0.6913742195644915,182.5,0.8902439024390244
42,1.0,10,Slow,DOC,-0.4258161993589296,-0.17392259184254583,-0.2518936075163838,59.15547785537799,0.40844522144622014,210.0,1.024390243902439
42,1.0,10,Slow,DO,-0.1330675622996655,-0.0005664819997721975,-0.1325010802998933,99.57428993964999,0.004257100603500133,210.0,1.024390243902439
42,1.0,10,Slow,Nitrate,-0.1330675622996655,-0.0336474942355539,-0.09942006806411158,74.71397713006839,0.25286022869931607,210.0,1.024390243902439
42,1.0,10,Slow,Ammonium,-0.03193621495191972,-0.02574939889390294,-0.00618681605801678,19.372414881760694,0.8062758511823931,210.0,1.024390243902439
42,1.0,10,Slow,Nitrogen,-0.166281225849662,-0.07287558379083717,-0.09340564205882484,56.173294117566016,0.43826705882433986,210.0,1.024390243902439
42,1.0,10,Slow,TOC,-0.43859068533969753,-0.3087094984563491,-0.12988118688334843,29.613302613290287,0.7038669738670971,210.0,1.024390243902439
43,10.0,2,Slow,DOC,-0.419603857397735,-0.16983858143714078,-0.2497652759605942,59.524065748481945,0.40475934251518053,200.0,0.975609756097561
43,10.0,2,Slow,DO,-0.13112620543679213,-0.0005716467298391017,-0.130554558706953,99.56404844635371,0.0043595155364627505,200.0,0.975609756097561
43,10.0,2,Slow,Nitrate,-0.13112620543679213,-0.03445066097145583,-0.0966755444653363,73.72709684025565,0.26272903159744354,200.0,0.975609756097561
43,10.0,2,Slow,Ammonium,-0.03147028930483011,-0.025240009011086383,-0.0062302802937437285,19.797340384752978,0.8020265961524702,200.0,0.975609756097561
43,10.0,2,Slow,Nitrogen,-0.16385530631381545,-0.07456645363503205,-0.0892888526787834,54.49249993026013,0.4550750006973987,200.0,0.975609756097561
43,10.0,2,Slow,TOC,-0.432191973119667,-0.318596417962039,-0.11359555515762798,26.283587438625382,0.7371641256137462,200.0,0.975609756097561
44,10.0,5,Slow,DOC,-0.4667697849235956,-0.18501158887304972,-0.28175819605054586,60.36341793131836,0.3963658206868163,175.0,0.8536585365853658
44,10.0,5,Slow,DO,-0.14586555778862365,-0.0006248490434715402,-0.1452407087451521,99.57162674112759,0.004283732588724063,175.0,0.8536585365853658
44,10.0,5,Slow,Nitrate,-0.14586555778862365,-0.03866718558862401,-0.10719837219999964,73.49121603836232,0.26508783961637683,175.0,0.8536585365853658
44,10.0,5,Slow,Ammonium,-0.03500773386926967,-0.027801744105716956,-0.0072059897635527136,20.58399378395139,0.7941600621604861,175.0,0.8536585365853658
44,10.0,5,Slow,Nitrogen,-0.1822736010126641,-0.08202446278717326,-0.10024913822549084,54.99926356232226,0.45000736437677735,175.0,0.8536585365853658
44,10.0,5,Slow,TOC,-0.48077287847130346,-0.34056691980137266,-0.1402059586699308,29.162618140136928,0.7083738185986308,175.0,0.8536585365853658
45,10.0,10,Slow,DOC,-0.34204154320549945,-0.13818591996202867,-0.20385562324347078,59.599667728371166,0.4040033227162883,157.5,0.7682926829268293
