Trial,Variance,Anisotropy,Regime,Chem,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,Da63
84,5.0,10,Slow,DOC,-0.4606319505118112,-0.18882982910625806,-0.27180212140555315,59.00635444492116,0.4099364555507883,177.5,0.8658536585365854,0.4076278872222405,59.237211277775955,1.0056634209800497,0.9961028409698043,-0.8917531177569183
84,5.0,10,Slow,DO,-0.14394748453494102,-0.00062570072365806,-0.14332178381128294,99.56532708738916,0.004346729126108354,177.5,0.8658536585365854,0.004272559714407877,99.57274402855921,1.0173594792485554,0.9999255123353041,-5.438331641751525
84,5.0,10,Slow,Nitrate,-0.14394748453494102,-0.03704312225378532,-0.10690436228115567,74.26622467668501,0.25733775323314995,177.5,0.8658536585365854,0.2533006219996381,74.6699378000362,1.0159381023293248,0.9945933646759917,-1.3573658419964831
84,5.0,10,Slow,Ammonium,-0.03454739628838584,-0.027814725206906792,-0.006732671081479046,19.48821562492812,0.8051178437507188,177.5,0.8658536585365854,0.8021345808490391,19.7865419150961,1.0037191550805875,0.984922767634279,-0.21676662252506215
84,5.0,10,Slow,Nitrogen,-0.17987677667486224,-0.07939629340258016,-0.10048048327228208,55.86073151283249,0.4413926848716752,177.5,0.8658536585365854,0.4300995182516709,56.99004817483291,1.0262571013004393,0.9801839672334383,-0.8178203578575995
84,5.0,10,Slow,TOC,-0.4744509090271656,-0.3342142885251385,-0.14023662050202712,29.557667154558576,0.7044233284544142,177.5,0.8658536585365854,0.6737875015624921,32.62124984375079,1.0454680842563546,0.9060862871942015,-0.3503757847165246
H,0.0,1,Medium,DOC,-4.5600000000011995,-1.983569535688886,-2.5764304643123124,56.500668077009536,0.4349933192299045,23.83,1.0,0.4349933192299045,56.500668077009536,1.0,1.0,-0.8324246061035633
H,0.0,1,Medium,DO,-1.4250000000003749,-0.008169599079738493,-1.4168304009206365,99.42669480142203,0.0057330519857798894,23.83,1.0,0.0057330519857798894,99.42669480142203,1.0,1.0,-5.161507257282615
H,0.0,1,Medium,Nitrate,-1.4250000000003749,-0.4879794895069666,-0.9370205104934084,65.75582529776575,0.3424417470223425,23.83,1.0,0.3424417470223425,65.75582529776575,1.0,1.0,-1.0716537174319787
H,0.0,1,Medium,Ammonium,-0.34200000000009,-0.2758007507769029,-0.0661992492231871,19.356505620809845,0.8064349437919015,23.83,1.0,0.8064349437919015,19.356505620809845,1.0,1.0,-0.2151320495286088
H,0.0,1,Medium,Nitrogen,-1.7806800000004688,-0.8351233665441931,-0.9455566334562758,53.10087345598462,0.4689912654401538,23.83,1.0,0.4689912654401538,53.10087345598462,1.0,1.0,-0.757171134504264
H,0.0,1,Medium,TOC,-4.696800000001236,-2.6970007982921214,-1.9997992017091144,42.57790839951857,0.5742209160048143,23.83,1.0,0.5742209160048143,42.57790839951857,1.0,1.0,-0.5547410856179238
37,0.1,2,Medium,DOC,-4.564536900930861,-1.9889180915852247,-2.575618809345636,56.42672773267276,0.4357327226732724,23.66,0.9928661351237936,0.4349933192299045,56.500668077009536,1.0016998041364795,0.9986913368132923,-0.8307262449991185
37,0.1,2,Medium,DO,-1.4264177815408934,-0.00825478027392784,-1.4181630012669657,99.42129294932019,0.005787070506798214,23.66,0.9928661351237936,0.0057330519857798894,99.42669480142203,1.0094222974346492,0.9999456700022803,-5.152129072811949
37,0.1,2,Medium,Nitrate,-1.4264177815408934,-0.49111149664691606,-0.9353062848939774,65.57029062576667,0.34429709374233325,23.66,0.9928661351237936,0.3424417470223425,65.75582529776575,1.0054179922165556,0.99717842987813,-1.0662503497353435
37,0.1,2,Medium,Ammonium,-0.34234026756981456,-0.2761532747475411,-0.06618699282227347,19.333686128166548,0.8066631387183345,23.66,0.9928661351237936,0.8064349437919015,19.356505620809845,1.0002829675576308,0.9988210944118568,-0.21484912199874637
37,0.1,2,Medium,Nitrogen,-1.7824516598135005,-0.8386397346527331,-0.9438119251607674,52.95021157878241,0.4704978842121759,23.66,0.9928661351237936,0.4689912654401538,53.10087345598462,1.0032124665916926,0.9971627231833183,-0.7539638168591073
37,0.1,2,Medium,TOC,-4.701473007958786,-2.702667724167984,-1.9988052837908012,42.51444771473042,0.5748555228526958,23.66,0.9928661351237936,0.5742209160048143,42.57790839951857,1.0011051614982904,0.998509539637488,-0.5536365343610333
38,0.1,5,Medium,DOC,-4.592430903398439,-2.006444522896196,-2.585986380502243,56.309750432795646,0.4369024956720436,23.22,0.9744020142677297,0.4349933192299045,56.500668077009536,1.0043889787675797,0.996620966606029,-0.8280452308139076
38,0.1,5,Medium,DO,-1.4351346573120127,-0.008460328681121992,-1.4266743286308907,99.41048537584841,0.00589514624151581,23.22,0.9744020142677297,0.0057330519857798894,99.42669480142203,1.02827364135856,0.9998369710910536,-5.1336259375794215
38,0.1,5,Medium,Nitrate,-1.4351346573120127,-0.4983154934570547,-0.936819163854958,65.2774399309405,0.3472256006905949,23.22,0.9744020142677297,0.3424417470223425,65.75582529776575,1.0139698319782846,0.9927248214943855,-1.0577805642062774
38,0.1,5,Medium,Ammonium,-0.34443231775488303,-0.27797813500677976,-0.06645418274810327,19.293829098637524,0.8070617090136247,23.22,0.9744020142677297,0.8064349437919015,19.356505620809845,1.0007772049395283,0.9967619918904712,-0.21435514645644116
38,0.1,5,Medium,Nitrogen,-1.793344267777091,-0.8480047083897491,-0.945339559387342,52.71378041423811,0.472862195857619,23.22,0.9744020142677297,0.4689912654401538,53.10087345598462,1.00825373669557,0.9927102321194891,-0.7489512736197118
38,0.1,5,Medium,TOC,-4.7302038305003915,-2.7235553221553417,-2.0066485083450503,42.42203042934777,0.5757796957065223,23.22,0.9744020142677297,0.5742209160048143,42.57790839951857,1.0027145993088398,0.9963389941866528,-0.5520301641793286
39,0.1,10,Medium,DOC,-4.572880593756301,-1.9990945714247843,-2.5737860223315163,56.28369185597589,0.4371630814402413,23.17,0.9723038187159044,0.4349933192299045,56.500668077009536,1.0049880357109349,0.9961597583105051,-0.8274489694286256
39,0.1,10,Medium,DO,-1.4290251855488438,-0.008528371750800817,-1.4204968137980432,99.4032035378351,0.005967964621648943,23.17,0.9723038187159044,0.0057330519857798894,99.42669480142203,1.0409751449056672,0.999763732832175,-5.121349344106133
39,0.1,10,Medium,Nitrate,-1.4290251855488438,-0.4970871116524285,-0.9319380738964154,65.2149509554296,0.34785049044570404,23.17,0.9723038187159044,0.3424417470223425,65.75582529776575,1.0157946379797222,0.9917745030210345,-1.0559825166790144
39,0.1,10,Medium,Ammonium,-0.3429660445317225,-0.2768632918944892,-0.06610275263723325,19.273847569221715,0.8072615243077829,23.17,0.9723038187159044,0.8064349437919015,19.356505620809845,1.0010249810257412,0.9957297017753418,-0.21410759343725128
39,0.1,10,Medium,Nitrogen,-1.7857098718618352,-0.8453163299922882,-0.9403935418695468,52.66216851279789,0.4733783148720211,23.17,0.9723038187159044,0.4689912654401538,53.10087345598462,1.0093542241724907,0.9917382725624961,-0.7478603901503768
39,0.1,10,Medium,TOC,-4.710067011568991,-2.7127538358784884,-1.9973131756905012,42.405196588172714,0.5759480341182729,23.17,0.9723038187159044,0.5742209160048143,42.57790839951857,1.0030077589744992,0.9959436285661273,-0.5517378409008487
40,1.0,2,Medium,DOC,-4.49988975272376,-2.103926603481921,-2.3959631492418394,53.244930007264614,0.4675506999273538,14.55,0.6105749055812002,0.4349933192299045,56.500668077009536,1.0748457028146723,0.9423769987054418,-0.7602474870910996
40,1.0,2,Medium,DO,-1.4062155477261753,-0.01075067345382246,-1.3954648742723526,99.23548893544762,0.007645110645523799,14.55,0.6105749055812002,0.0057330519857798894,99.42669480142203,1.3335149697729114,0.9980769162008625,-4.873688966779251
40,1.0,2,Medium,Nitrate,-1.4062155477261753,-0.5972607106873321,-0.8089548370388431,57.5270866793436,0.4247291332065641,14.55,0.6105749055812002,0.3424417470223425,65.75582529776575,1.2402960120947308,0.8748591690369713,-0.8563036468727482
40,1.0,2,Medium,Ammonium,-0.337491731454282,-0.27602929415104105,-0.061462437303240976,18.21153870596884,0.8178846129403116,14.55,0.6105749055812002,0.8064349437919015,19.356505620809845,1.0141978832099872,0.9408484704176114,-0.20103401230445322
40,1.0,2,Medium,Nitrogen,-1.7572069484386283,-0.942063435214612,-0.8151435132240163,46.38858922953353,0.5361141077046647,14.55,0.6105749055812002,0.4689912654401538,53.10087345598462,1.1431217321318667,0.8735937134439999,-0.6234082530599623
40,1.0,2,Medium,TOC,-4.634886445305472,-2.7916609072443084,-1.8432255380611648,39.76851557880364,0.6023148442119637,14.55,0.6105749055812002,0.5742209160048143,42.57790839951857,1.0489252958645516,0.9340175944211788,-0.5069749733587569
41,1.0,5,Medium,DOC,-4.539551151239609,-2.042812992968127,-2.496738158271481,54.99967012354736,0.4500032987645264,17.41,0.7305916911456147,0.4349933192299045,56.500668077009536,1.0345062300294519,0.9734339786670073,-0.7985003656568038
41,1.0,5,Medium,DO,-1.4186097347623774,-0.009792658037513424,-1.408817076724864,99.30970034974744,0.006902996502525575,17.41,0.7305916911456147,0.0057330519857798894,99.42669480142203,1.204070104308767,0.9988233094551896,-4.975799685920991
41,1.0,5,Medium,Nitrate,-1.4186097347623774,-0.5392468385533885,-0.8793628962089889,61.98765415608018,0.38012345843919815,17.41,0.7305916911456147,0.3424417470223425,65.75582529776575,1.1100383108791847,0.9426944894293099,-0.9672591883977689
41,1.0,5,Medium,Ammonium,-0.3404663363429706,-0.27662102035199265,-0.06384531599097792,18.752313863612933,0.8124768613638707,17.41,0.7305916911456147,0.8064349437919015,19.356505620809845,1.0074921326493613,0.9687861141348078,-0.20766784350514955
41,1.0,5,Medium,Nitrogen,-1.7726947245590667,-0.8864705277597497,-0.8862241967993171,49.99305207611272,0.5000694792388729,17.41,0.7305916911456147,0.4689912654401538,53.10087345598462,1.0662660823108334,0.9414732531198762,-0.6930082317360344
41,1.0,5,Medium,TOC,-4.675737685776796,-2.748839681511812,-1.9268980042649844,41.21056684010413,0.5878943315989588,17.41,0.7305916911456147,0.5742209160048143,42.57790839951857,1.0238121169275378,0.9678861266132579,-0.5312080553979933
42,1.0,10,Medium,DOC,-4.258161993591323,-1.92852209369134,-2.3296398998999828,54.70998762860994,0.4529001237139007,22.25,0.9336970205623164,0.4349933192299045,56.500668077009536,1.0411657000059167,0.9683069154871067,-0.7920836552605875
42,1.0,10,Medium,DO,-1.3306756229972887,-0.009042044486424105,-1.3216335785108646,99.32049221236522,0.006795077876347727,22.25,0.9336970205623164,0.0057330519857798894,99.42669480142203,1.1852461643819137,0.9989318503519712,-4.9915567706135455
42,1.0,10,Medium,Nitrate,-1.3306756229972887,-0.515405361656508,-0.8152702613407807,61.267392837964536,0.3873260716203547,22.25,0.9336970205623164,0.3424417470223425,65.75582529776575,1.1310714157613608,0.9317409151284164,-0.9484883783822388
42,1.0,10,Medium,Ammonium,-0.3193621495193493,-0.2591459953155452,-0.0602161542038041,18.855131797688433,0.8114486820231157,22.25,0.9336970205623164,0.8064349437919015,19.356505620809845,1.0062171639136064,0.9740979165897385,-0.20893413244595888
42,1.0,10,Medium,Nitrogen,-1.662812258497412,-0.8406098231257402,-0.8222024353716717,49.446498314527034,0.5055350168547297,22.25,0.9336970205623164,0.4689912654401538,53.10087345598462,1.0779198976771542,0.9311805078971686,-0.6821379712002523
42,1.0,10,Medium,TOC,-4.385906853399063,-2.5891067552282108,-1.7968000981708518,40.967584543623815,0.5903241545637619,22.25,0.9336970205623164,0.5742209160048143,42.57790839951857,1.0280436293943924,0.9621793574079612,-0.5270834784404173
43,10.0,2,Medium,DOC,-4.196038574013111,-1.9331006485183548,-2.2629379254947573,53.9303413345524,0.4606965866544758,19.16,0.8040285354595048,0.4349933192299045,56.500668077009536,1.0590888785834123,0.9545080291979235,-0.775015616109441
43,10.0,2,Medium,DO,-1.3112620543790978,-0.0109220476881136,-1.3003400066909845,99.16705835788977,0.008329416421102303,19.16,0.8040285354595048,0.0057330519857798894,99.42669480142203,1.4528764856419176,0.9973886646433253,-4.787961882748246
43,10.0,2,Medium,Nitrate,-1.3112620543790978,-0.5326395147798859,-0.7786225395992119,59.37962873240478,0.4062037126759522,19.16,0.8040285354595048,0.3424417470223425,65.75582529776575,1.1861979919447425,0.9030322175033575,-0.9009004898580455
43,10.0,2,Medium,Ammonium,-0.31470289305098337,-0.25644318140123273,-0.05825971164975064,18.512607585184256,0.8148739241481575,19.16,0.8040285354595048,0.8064349437919015,19.356505620809845,1.0104645519408861,0.9564023562848901,-0.20472187200441042
