,Regime,Velocity,Pe,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,Domain,Time_series,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,temporal_normmassflux_base,spatial_normmassflux_base,temporal_reldelmassflux_base,spatial_reldelmassflux_base,normmassflux_temporal_fraction,normmassflux_spatial_fraction,reldelmassflux_temporal_fraction,reldelmassflux_spatial_fraction,Da63,k,tau63
10,Slow,0.00038,2,37,Nitrogen,312.4,134.39092355340318,0.43018861572792316,0.43009951825178405,1.000207155489272,0.1,2,Original,0,-0.1782451659813501,-0.07667904121370721,-0.10156612476764287,56.98113842720976,0.4301886157279025,205.0,1.0,0.4301886157279025,0.4300995182516709,56.98113842720976,56.99004817483291,1.0,1.0002071554894871,1.0,0.9998436613424888,0.8484079421863202,0.004114787928008492,241.62904400885444
11,Slow,0.00038,2,37,TOC,824.0,555.3660047505723,0.6739878698429276,0.6737875015626694,1.0002973760715261,0.1,2,Original,0,-0.4701473007958786,-0.31687357777580105,-0.15327372302007752,32.601213015710485,0.6739878698428949,205.0,1.0,0.6739878698428949,0.6737875015624921,32.601213015710485,32.62124984375079,1.0,1.000297376071741,1.0,0.9993857737475949,0.3968240013880403,0.001924600807304726,516.6018166313929
12,Slow,0.00038,2,38,DOC,799.9999999999999,326.05833858183263,0.40757292322729083,0.407627887222348,0.9998651613474443,0.1,5,Original,0,-0.459243090339814,-0.18717504880171398,-0.27206804153810005,59.24270767727501,0.4075729232272498,205.0,1.0,0.4075729232272498,0.4076278872222405,59.24270767727501,59.23721127777596,1.0,0.9998651613476072,1.0,1.000092786263575,0.902724020522224,0.004378221510274814,227.0904455177873
13,Slow,0.00038,2,38,DO,250.0,1.06740652997465,0.0042696261198986,0.004272559714409002,0.9993133871246999,0.1,5,Original,0,-0.14351346573119186,-0.0006127488418430082,-0.14290071688934886,99.57303738801019,0.0042696261198981724,205.0,1.0,0.0042696261198981724,0.004272559714407877,99.57303738801019,99.57274402855921,1.0,0.9993133871248628,1.0,1.0000029461822493,302.1571023764568,1.4654652972916473,0.6784550102833293
14,Slow,0.00038,2,38,Ammonium,60.0,48.2050894044928,0.8034181567415467,0.8021345808492499,1.0016002001695747,0.1,5,Original,0,-0.03444323177548605,-0.02767231778528011,-0.006770913990205942,19.658184325853355,0.8034181567414664,205.0,1.0,0.8034181567414664,0.8021345808490391,19.658184325853355,19.7865419150961,1.0,1.001600200169738,1.0,0.9935128841718008,0.2201452924002254,0.0010677071094384117,931.2031966021278
15,Slow,0.00038,2,38,Nitrate,250.0,63.339135802595884,0.25335654321038353,0.25330062199970477,1.000220770127753,0.1,5,Original,0,-0.14351346573119186,-0.036360075581792974,-0.1071533901493989,74.66434567896418,0.2533565432103582,205.0,1.0,0.2533565432103582,0.2533006219996381,74.66434567896418,74.6699378000362,1.0,1.0002207701279162,1.0,0.9999251088023271,1.3808945249008933,0.006697353759174694,148.45449547619347
16,Slow,0.00038,2,38,Nitrogen,312.4,134.43351721620115,0.4303249590787489,0.43009951825178405,1.0005241596825805,0.1,5,Original,0,-0.17933442677769734,-0.07717207986451577,-0.1021623469131816,56.967504092129424,0.4303249590787058,205.0,1.0,0.4303249590787058,0.4300995182516709,56.967504092129424,56.99004817483291,1.0,1.0005241596827434,1.0,0.9996044207115896,0.8480892219461581,0.004113242131309263,241.71985057135257
17,Slow,0.00038,2,38,TOC,824.0000000000001,554.951258672957,0.6734845372244623,0.6737875015626694,0.9995503562510369,0.1,5,Original,0,-0.4730203830500084,-0.31857191377614097,-0.15444846927386746,32.6515462775605,0.6734845372243949,205.0,1.0,0.6734845372243949,0.6737875015624921,32.6515462775605,32.62124984375079,1.0,0.9995503562512,1.0,1.0009287330790455,0.397575396937321,0.0019282450840513255,515.6254677205765
18,Slow,0.00038,2,39,DOC,799.9999999999999,326.25011139200086,0.4078126392400011,0.407627887222348,1.0004532369434094,0.1,10,Original,0,-0.457288059375672,-0.18648785038686252,-0.2708002089888094,59.21873607601488,0.4078126392398512,202.5,0.9878048780487804,0.4078126392398512,0.4076278872222405,59.21873607601488,59.23721127777596,1.0,1.0004532369433057,1.0,0.9996881149304204,0.9021326394186162,0.004429370012837838,224.46810053397704
19,Slow,0.00038,2,39,DO,249.99999999999994,1.0692143562503469,0.0042768574250013885,0.004272559714409002,1.0010058866065448,0.1,10,Original,0,-0.14290251855489752,-0.0006111736975326872,-0.14229134485736486,99.57231425750004,0.004276857424999815,202.5,0.9878048780487804,0.004276857424999815,0.004272559714407877,99.57231425750004,99.57274402855921,1.0,1.00100588660644,1.0,0.9999956838483928,297.7099213624272,1.4617223017857637,0.6801923129511017
