,Regime,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,k,tau,Da
211,Slow,71,DO,250.00000000000003,1.0711882310849963,0.004284752924339985,0.004272559714409002,1.0028538418994735,5.0,5,-0.14178359,-0.000607508,-0.141176083,99.57152471,0.004284753,200.0,0.975609756,0.00427256,99.57274403,1.002853842,0.9999877540000001,0.027263461945961333,36.4683060175764,5.484214153067796
212,Slow,71,Ammonium,60.00000000000003,47.92599477929045,0.7987665796548404,0.8021345808492499,0.9958012018496402,5.0,5,-0.034028062000000005,-0.027180477999999998,-0.006847583000000001,20.12334204,0.79876658,200.0,0.975609756,0.8021345809999999,19.78654192,0.995801202,1.017021677,0.0011234325825222543,885.0128515158777,0.22598541892067864
213,Slow,71,Nitrate,250.00000000000003,65.56447107357715,0.2622578842943086,0.25330062199970477,1.0353621804158628,5.0,5,-0.14178359,-0.037183864,-0.10459972599999999,73.77421157,0.262257884,200.0,0.975609756,0.253300622,74.6699378,1.03536218,0.988004192,0.006692134840591683,148.57026898399442,1.3461643528527645
214,Slow,71,Nitrogen,312.4000000000001,139.8150522214084,0.44755138355124313,0.43009951825178405,1.0405763423553582,5.0,5,-0.17717277399999998,-0.07929392,-0.097878854,55.24486165,0.447551384,200.0,0.975609756,0.43009951799999996,56.99004817,1.040576342,0.9693773459999999,0.004019819621403763,247.33753426395378,0.8086116027443045
215,Slow,71,TOC,824.0000000000001,582.7798338969648,0.7072570799720446,0.6737875015626694,1.0496737893352897,5.0,5,-0.46731871399999997,-0.330514469,-0.136804245,29.274292,0.70725708,200.0,0.975609756,0.673787502,32.62124984,1.049673789,0.89739946,0.0017318052914281948,574.1131975199829,0.3483633556308182
216,Slow,72,DOC,799.9999999999999,325.21045731514243,0.4065130716439281,0.407627887222348,0.9972651145484268,5.0,10,-0.46410261399999997,-0.18866377899999998,-0.275438835,59.34869284,0.40651307200000003,170.0,0.8292682929999999,0.407627887,59.23721128,0.997265115,1.0018819509999999,0.005294936434974438,187.77416604599273,0.905342857219032
217,Slow,72,DO,250.00000000000003,1.0813052915761319,0.004325221166304527,0.004272559714409002,1.0123255040106114,5.0,10,-0.145032067,-0.000627296,-0.144404771,99.56747788,0.004325221,170.0,0.8292682929999999,0.00427256,99.57274403,1.012325504,0.9999471129999999,0.03201936472463484,31.05159274377845,5.474759423864384
218,Slow,72,Ammonium,59.99999999999998,47.8481341967716,0.797468903279527,0.8021345808492499,0.9941834229802395,5.0,10,-0.034807696,-0.027758055,-0.007049641,20.25310967,0.797468903,170.0,0.8292682929999999,0.8021345809999999,19.78654192,0.994183423,1.023580056,0.0013312496343312868,746.8563729170897,0.22762073962897295
219,Slow,72,Nitrate,250.00000000000003,66.15494521926279,0.2646197808770511,0.25330062199970477,1.044686660411594,5.0,10,-0.145032067,-0.038378353999999996,-0.10665371300000001,73.53802191,0.264619781,170.0,0.8292682929999999,0.253300622,74.6699378,1.04468666,0.9848410759999999,0.007820360426086373,127.13637469026875,1.3371468268947904
220,Slow,72,Nitrogen,312.4,141.27213639972427,0.4522155454536629,0.43009951825178405,1.0514207207015096,5.0,10,-0.18123207100000002,-0.08195596,-0.099276111,54.77844545,0.452215545,170.0,0.8292682929999999,0.43009951799999996,56.99004817,1.051420721,0.9611931770000001,0.00466821377849288,212.98344945651965,0.7981840862930776
221,Slow,72,TOC,824.0000000000002,597.9010271520415,0.7256080426602444,0.6737875015626694,1.076909323751763,5.0,10,-0.478025693,-0.346859287,-0.131166405,27.43919573,0.7256080429999999,170.0,0.8292682929999999,0.673787502,32.62124984,1.076909324,0.841144832,0.0018867370358309106,526.9691824891764,0.32259950989352526
